sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
1018448,,7.0,,,,,7.75,8.25,,
1018450,,9.75,,,,,7.5,8.5,,
1018451,3.8,6.0,2.6,,,,2.5,4.5,8.5,N1
1018452,4.8,8.25,,,,,6.75,,,
1018453,2.2,5.25,,,,,3.25,4.0,,
1018454,,6.25,,,,,6.75,7.75,,
1018455,,6.75,,,,,6.25,7.5,,
1018456,,6.25,,,,,5.75,7.75,7.0,
1018458,7.8,7.75,7.2,,,,,,,N1
1018459,4.6,7.25,4.2,,,,,,,N1
1018460,8.2,,,5.5,9.0,8.25,,,,
1018461,,9.5,8.6,,,,8.25,,,N1
1018462,3.4,6.5,,,,,7.25,,5.25,
1018463,8.0,,,8.75,7.75,,,,,
1018464,6.8,7.0,,,,,6.5,7.25,,
1018465,9.4,,,3.25,9.75,8.75,,,,
1018467,,2.5,,,,,4.75,5.25,,
1018469,6.8,8.75,5.4,,,,,,,N1
1018470,6.8,9.0,5.0,,,,,,,N1
1018472,3.2,9.0,,,,,9.25,9.0,7.5,
1018473,7.8,8.75,6.4,,,,7.25,,,N1
1018475,,8.5,,,,,,,,
1018476,,9.0,,,,,,,,
1018477,,9.0,,,,,10.0,8.5,,
1018478,8.6,4.25,,8.5,8.75,3.0,,,,
1018479,,5.75,,,,,7.75,8.0,6.5,
1018480,5.2,7.25,7.0,,,,8.0,7.0,8.25,N1
1018481,,7.0,,,,,5.0,6.5,8.75,
1018482,,7.0,,,,,6.5,6.5,,
1018483,5.4,8.25,4.8,,,,5.75,,,N1
1018484,7.6,7.5,7.6,,,,,8.0,9.25,N1
1018485,,5.75,,,,,6.0,7.75,8.25,
1018486,5.0,7.75,,,,,6.25,6.75,8.25,
1018487,7.0,,7.0,8.75,4.0,5.0,,,,N1
1018488,6.2,6.5,4.0,,,,,,,N1
1018489,8.0,7.5,8.4,,,,,,,N1
1018490,7.4,9.25,7.4,,,,,,,N1
1018491,,7.75,,,,,,,,
1018492,8.4,9.25,7.8,,,,6.0,8.0,7.75,N1
1018493,7.6,,,,6.5,7.5,,,,
1018494,,8.75,7.6,,,,6.5,9.75,,N1
1018495,7.6,8.25,4.6,,,,,,,N1
1018497,8.6,,9.2,,,,,,,N1
1018498,,7.75,,,,,,,,
1018499,,1.25,,,,,5.0,5.75,,
1018500,7.6,,7.0,6.25,3.25,,,,,N1
1018501,7.4,8.25,7.0,,,,,,,N1
1018502,,5.75,,,,,3.75,6.5,,
1018503,,7.0,,,,,8.25,9.25,,
1018504,,7.25,,,,,6.5,8.0,,
1018506,5.6,7.75,,,,,,,,
1018507,,7.5,,,,,4.0,6.25,,
1018508,,6.0,,,,,5.5,7.75,8.25,
1018509,5.6,9.5,8.2,,,,,8.25,,N1
1018510,9.0,,6.2,7.5,6.25,4.25,,,,N1
1018511,,6.25,,,,,,,,
1018512,7.0,8.5,4.0,,,,4.5,8.5,6.25,N4
1018513,7.0,8.75,7.4,,,,,,,N1
1018514,,9.25,,,,,8.25,8.5,,
1018515,7.2,8.0,4.0,,,,,,,N1
1018516,7.6,9.25,8.6,,,,,,,N1
1018517,5.6,8.0,6.0,,,,,,,N1
1018518,,7.25,,,,,6.75,7.25,,
1018519,5.4,5.75,5.2,,,,4.75,6.5,8.5,N1
1018520,,2.75,,,,,3.75,5.75,6.5,
1018521,5.2,5.5,,,,,4.25,6.25,,
1018522,8.0,,,8.75,2.75,2.5,,,,
1018523,4.8,3.5,,,,,,,,
1018524,8.0,8.0,9.2,,,,,,,N6
1018525,,7.25,,,,,7.75,8.0,6.5,
1018526,5.8,,6.0,2.0,,,,,,N1
1018527,7.2,8.75,9.6,,,,,,,N7
1018528,8.0,,,7.5,7.0,,,,,
1018529,7.0,,,6.0,,,,,,
1018530,,4.25,,,,,5.25,6.5,7.75,
1018531,,5.0,,,,,4.75,5.5,,
1018532,,4.0,,,,,7.5,7.75,,
1018533,8.4,,8.4,5.0,,,,,,N1
1018534,5.0,7.25,5.2,,,,4.25,8.0,,N1
1018535,2.8,5.5,,,,,4.75,3.75,7.0,
1018537,6.6,6.5,,,,,3.75,,6.0,
1018538,,5.25,,,,,4.5,5.0,7.0,
1018539,3.6,5.75,,,,,5.5,6.5,,
1018540,,9.25,,,,,7.75,6.75,8.5,
1018542,,8.0,,,,,9.0,9.0,,
1018543,8.4,,,7.75,7.75,,,,,
1018546,5.6,8.5,,,,,4.5,,7.0,
1018547,6.4,8.25,8.2,,,,,,,N1
1018548,7.6,9.5,5.8,,,,,,,N1
1018549,7.6,,,4.5,6.25,,,,,
1018550,8.6,9.25,7.2,,,,,,,N1
1018551,7.2,9.0,7.2,,,,,4.75,,N1
1018552,8.2,8.75,6.0,,,,,,,N1
1018553,6.6,7.5,7.4,,,,8.75,,,N1
1018554,,4.0,,,,,5.5,5.0,6.5,
1018555,8.2,8.0,7.6,,,,,,,N1
1018556,4.0,,,3.0,4.25,,,,,
1018557,7.4,8.5,7.0,,,,,,,N1
1018558,,7.25,,,,,6.5,6.25,,
1018559,,7.0,,,,,7.25,7.5,7.75,
1018560,,5.5,,,,,5.5,5.75,,
1018562,7.8,,,3.25,8.0,7.0,,,,
1018563,8.0,6.75,6.6,,,,,,,N1
1018564,,4.0,,,,,7.5,8.0,,
1018565,7.8,6.0,7.6,7.5,3.25,2.0,,,,N1
1018567,,4.0,,,,,4.25,6.75,,
1018569,4.6,,6.4,4.5,,,,,,N1
1018570,,5.75,,,,,4.25,7.25,,
1018571,,5.25,,,,,5.75,8.75,8.75,
1018572,7.8,9.25,7.2,,,,6.0,9.0,,N1
1018573,8.0,8.0,7.0,,,,6.0,8.5,7.75,N1
1018574,3.0,5.5,,,,,4.0,4.75,7.0,
1018575,,5.5,,,,,4.75,8.0,,
1018576,5.4,6.75,,,,,3.75,5.25,7.5,
1018577,8.0,,5.4,5.0,5.0,,,,,N1
1018579,,3.25,,,,,5.0,8.0,,
1018580,,4.25,,,,,6.0,7.75,,
1018581,6.2,8.5,,,,,9.25,9.0,,
1018582,4.8,6.0,,,,,6.25,7.25,8.25,
1018583,7.8,,,,8.75,8.5,,,,
1018585,,6.25,,,,,7.0,6.5,7.0,
1018586,,5.25,,,,,5.75,6.75,6.0,
1018588,,8.25,,,,,7.25,7.5,,
1018590,,8.5,,,,,8.75,8.75,,
