sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
27012487,,6.5,,,,,8.5,8.25,9.0,
27012488,8.0,8.5,5.8,,,,,,,N1
27012489,,6.75,,,,,9.0,10.0,,
27012490,8.4,,,8.25,9.25,,,,,
27012491,,6.75,,,,,6.25,8.5,9.25,
27012492,7.8,8.5,5.2,,,,,7.5,,N1
27012493,7.6,8.75,7.4,,,,,,,N1
27012494,6.8,8.0,7.8,,,,,,,N1
27012495,,,,,,,4.75,2.25,5.25,
27012497,2.8,,,4.0,3.25,,,,,
27012498,7.4,8.75,7.4,,,,,,,N7
27012499,5.0,4.5,2.2,,,,,,,N1
27012500,,5.75,,,,,4.75,5.25,8.75,
27012501,,6.75,,,,,8.75,9.5,,
27012503,,5.0,,,,,4.5,6.75,7.25,
27012504,7.8,,,6.0,7.25,,,,,
27012505,8.4,7.75,,2.5,4.25,4.5,,,,
27012506,7.8,9.0,4.6,,,,,,9.5,N1
27012507,8.4,8.25,8.4,,,,,,,N4
27012508,8.2,,8.2,9.5,,,,,,N1
27012509,7.4,,,3.25,6.5,6.0,,,,
27012510,7.4,,,5.5,6.0,,,,,
27012511,7.2,8.0,4.4,,,,7.25,8.5,,N1
27012512,8.8,,4.8,8.75,7.5,,,,,N1
27012513,7.8,,7.8,9.25,,,,,,N1
27012514,,9.0,,,,,,,,
27012515,,,,,,,5.0,7.75,8.25,
27012516,,,,,,,4.5,4.0,6.5,
27012518,,6.25,,,,,,,,
27012519,7.8,,,6.5,5.75,,,,,
27012520,,8.25,,,,,,,,
27012521,,6.25,,,,,8.75,8.5,9.25,
27012522,7.8,,,7.0,5.75,,,,,
27012523,7.4,,,7.25,8.0,,,,,
27012524,7.6,8.75,5.2,,,,,9.25,,N1
27012525,8.0,8.25,6.2,,,,,,,N1
27012526,8.0,,,7.25,7.0,,,,,
27012527,,9.0,,,,,8.75,8.25,,
27012528,5.8,,,4.5,5.0,,,,,
27012529,8.2,,,7.25,7.0,,,,,
27012530,,,,,,,4.25,3.25,4.75,
27012531,6.2,,,5.5,5.75,,,,,
27012532,,8.75,,,,,,,,
27012533,8.0,7.5,,,,,,,,
27012534,7.6,8.0,5.2,,,,8.75,,9.0,N1
27012535,,8.5,7.2,,,,,8.0,,N1
27012536,,6.5,,,,,,,,
27012537,,1.75,,,,,3.75,6.0,,
27012538,,7.75,,,,,9.75,9.0,,
27012539,,5.25,,,,,7.0,8.75,,
27012540,7.6,,9.2,8.75,,,,,,N1
27012541,,3.5,,,,,8.5,8.75,8.0,
27012542,,4.5,,,,,4.75,7.5,6.25,
27012543,4.0,5.5,3.4,,,,7.75,8.5,9.5,N1
27012544,8.4,6.25,,7.75,,,,,,
27012545,,8.5,,,,,,,,
27012546,8.4,6.5,7.6,,,,8.5,,,N1
27012547,,7.5,,,,,,,,
27012548,,7.0,,,,,8.75,9.25,9.0,
27012549,,7.75,,,,,,,,
27012550,8.4,,,7.0,6.5,,,,,
27012551,7.0,,,5.5,7.5,,,,,
27012552,,2.0,,,,,5.0,5.0,,
27012553,9.0,,,7.5,8.25,,,,,
27012554,,1.75,,,,,3.25,5.0,6.25,
27012555,7.0,,4.8,7.0,5.0,,,,,N1
27012556,,7.25,,,,,8.0,8.5,,
27012557,7.8,7.75,3.4,,,8.25,,,,N1
27012558,,3.5,,,,,3.75,5.5,,
27012559,8.0,8.0,5.2,,,,,,,N1
27012560,7.2,8.25,,,,,,,,
27012561,,,,,,,6.5,7.25,7.75,
27012562,,,,,,,2.25,1.75,3.0,
27012563,,5.25,,,,,5.75,4.75,,
27012564,,3.25,,,,,2.75,6.25,,
27012565,8.2,,,2.75,5.5,,,,,
27012566,8.0,7.25,6.4,,,,,,,N1
27012567,,5.5,,,,,9.0,9.75,9.5,
27012568,,,,,,,5.0,5.75,,
27012569,,7.75,,,,,9.0,9.5,,
27012570,7.6,6.5,,,,,7.25,,,
27012571,,4.5,,,,,3.0,2.75,2.25,
27012572,8.2,8.75,7.2,,,,,,,N1
27012574,,4.75,,,,,4.75,4.25,,
27012575,8.2,8.5,,,,,9.75,9.5,,
27012576,,3.75,,,,,8.25,9.25,8.75,
27012577,,,,,,,4.0,4.75,2.0,
27012578,,2.5,,,,,2.75,3.25,2.75,
27012579,6.2,2.75,,,,,10.0,9.5,9.5,
27012580,8.0,6.0,,,,,8.75,9.0,8.5,
27012581,7.8,,,6.0,7.25,,,,,
27012582,,6.5,,,,,6.0,6.0,,
27012583,,7.0,,,,,5.5,5.25,,
27012584,,5.5,,,,,3.5,6.75,8.75,
27012585,4.2,,,4.0,3.75,4.5,,,,
27012587,5.0,4.5,,,,,8.5,,,
27012588,,2.5,,,,,5.0,5.75,3.5,
27012589,8.2,8.25,,,,,,8.75,,
27012590,,5.25,,,,,8.0,9.5,7.25,
27012591,,4.75,,,,,6.5,5.75,,
27012592,8.2,8.25,4.0,,,,,9.0,,N1
27012594,,7.5,,,,,6.0,7.5,,
27012595,7.2,7.5,,,,,8.5,9.0,,
27012596,,,,,,,5.75,7.5,9.0,
27012597,,,,,,,9.75,9.5,10.0,
27012598,9.0,8.25,5.6,,,,,,,N1
27012599,,6.5,,,,,8.5,9.25,,
27012601,,4.75,,,,,5.25,4.75,,
27012602,8.0,,,8.75,9.0,,,,,
27012603,,8.25,,,,,9.25,9.5,,
27012604,3.0,5.5,,,,,4.75,6.25,7.5,
27012605,9.0,7.25,7.0,,,,,,,N1
27012606,8.0,8.25,8.2,,,,,,,N1
27012607,,,,,,,5.0,4.75,5.5,
27012608,,1.75,,,,,6.0,7.5,,
27012609,,4.0,,,,,4.5,8.0,8.0,
27012610,6.6,7.25,,,,,9.75,9.0,9.0,
27012611,,5.75,,,,,8.5,8.0,,
27012612,8.6,,,8.75,8.25,,,,,
27012613,,4.5,,,,,6.25,8.5,,
27012615,,6.0,,,,,7.0,8.5,,
27012616,,8.75,,,,,,,,
27012617,1.6,2.5,,,,,1.75,3.0,,
27012618,,7.75,3.6,,,,8.25,9.25,,N1
27012619,,6.75,,,,,5.5,7.75,8.5,
27012620,,2.75,,,,,5.0,6.0,6.5,
27012621,,6.5,,,,,9.75,10.0,2.5,
27012622,,3.0,,,,,8.0,6.5,7.0,
27012623,,4.5,,,,,6.75,7.0,6.25,
27012624,7.6,,,8.25,7.75,,,,,
27012625,,5.75,,,,,9.25,9.5,,
27012626,,,,,,,7.5,8.0,9.25,
27012627,5.6,7.75,,2.25,4.5,,,,,
27012629,9.0,,,,7.5,8.75,,,,
27012630,7.0,6.5,2.2,,,,4.25,5.0,7.25,N1
27012631,,8.25,,,,,9.5,9.25,,
27012632,8.2,8.0,5.2,,,,9.75,9.75,,N1
27012633,,7.5,9.0,,,,10.0,,,N1
27012634,,,,,,,2.5,3.0,2.5,
27012635,4.2,5.0,,,,,4.75,7.25,,
27012636,,8.25,,,,,9.75,9.75,,
27012637,5.4,6.0,,,,,7.0,8.0,,
27012638,8.0,8.0,,,,,9.75,7.0,9.5,
27012639,,,,,,,4.0,7.75,8.25,
27012640,,2.0,,,,,3.25,6.75,6.25,
27012641,,6.0,,,,,9.0,9.0,,
27012642,8.6,,,,8.5,8.25,,,,
27012643,,7.5,,,,,8.5,8.75,,
27012644,,5.0,,,,,5.25,8.25,,
27012645,7.8,,,,7.5,8.5,,,,
27012646,,5.5,,,,,7.75,8.75,9.5,
27012647,,,,,,,5.75,6.5,8.0,
27012648,,,,,,,3.75,5.25,4.0,
27012649,8.0,4.0,4.4,,,,4.0,6.0,6.75,N1
27012650,,3.75,,,,,4.25,3.5,6.25,
27012651,7.8,6.75,3.4,,,,,,,N1
27012652,8.0,6.5,,5.5,3.0,,,,,
27012653,,5.0,,,,,9.0,8.75,,
27012654,5.2,4.0,3.0,,,,,4.5,,N1
27012655,,7.75,,,,,8.0,8.75,9.75,
27012656,8.0,,,,6.5,7.25,,,,
27012657,,5.75,,,,,7.75,6.25,7.75,
27012658,,7.5,,,,,10.0,9.25,,
27012659,,7.5,,,,,8.0,9.25,,
27012660,,4.75,,,,,5.25,7.75,,
27012661,,4.25,,,,,5.0,6.0,,
27012662,,4.25,,,,,5.75,5.25,,
27012663,7.8,7.5,3.2,,,,,,,N1
27012665,5.8,7.75,,,,,8.5,7.25,8.75,
27012666,,7.75,,,,,8.5,10.0,,
27012667,8.0,,,8.25,7.25,,,,,
28040751,5.2,8.25,,,,,8.75,,,
28040752,,3.25,,,,,2.75,2.25,,
28040753,4.2,6.5,4.0,,,,,,,N1
28040754,5.6,4.5,,,,,3.5,4.5,,
28040755,,8.25,,,,,7.75,8.25,9.5,
28040756,7.4,,,8.25,8.75,4.25,,,,
28040757,8.2,,,7.75,7.5,7.0,,,,
28040758,7.6,8.0,,,,,5.5,7.25,,
28040759,,8.5,,,,,5.5,8.0,8.5,
28040760,,7.5,5.4,,,,,,,N1
28040761,,7.5,,,,,,9.25,7.5,
28040762,,8.5,,,,,9.5,9.0,,
28040763,,6.0,,,,,6.5,5.25,,
28040764,5.2,5.75,3.8,,,,,,,N1
28040765,,8.75,,,,,9.5,9.25,7.5,
28040766,4.2,,,5.0,2.75,,,,,
28040767,,6.5,,,,,6.5,7.75,,
28040768,5.4,,,2.75,4.5,,,,,
28040769,,8.0,,,,,7.25,,9.5,
28040770,2.6,2.25,2.0,,,,3.25,3.25,4.5,N1
28040771,7.8,,,7.25,8.0,4.75,,,,
28040772,,8.5,,,,,10.0,9.75,9.5,
28040773,1.8,6.67,,,,,5.75,6.0,8.5,
28040774,,6.5,,,,,8.5,8.0,,
28040776,,8.75,,,,,,8.0,9.25,
28040777,7.0,9.0,5.8,,,,,,,N1
28040778,5.4,,,5.0,5.5,6.5,,,,
28040779,,5.5,,,,,7.25,,7.75,
28040780,3.8,7.5,2.2,,,,8.25,7.5,9.25,N1
28040781,,6.5,,,,,6.0,7.5,,
28040782,,7.0,,,,,6.75,,9.25,
28040783,7.4,8.0,8.4,,,,,,,N1
28040784,,7.5,,,,,3.25,5.0,,
28040785,,8.0,,,,,9.5,9.25,,
28040786,8.6,,,7.25,5.5,,,,,
28040787,6.8,,,6.25,4.75,,,,,
28040788,8.6,9.0,6.6,,,,,,,N1
28040789,5.8,9.25,3.8,,,,,,,N1
28040790,4.6,,,3.25,,,,,,
28040791,2.8,4.5,2.6,,,,5.5,7.25,8.25,N1
28040793,8.2,,,6.75,7.5,6.25,,,,
28040794,,6.75,,,,,5.5,7.5,,
28040795,5.8,8.5,3.8,3.75,3.5,5.25,,,,N1
28040796,,8.5,,,,,7.25,9.25,,
28040797,7.4,6.0,5.6,,,,,,,N1
28040799,,8.5,,,,,8.5,8.25,,
28040800,,8.25,,,,,8.5,9.5,,
28040801,,6.75,,,,,7.25,5.0,8.0,
28040802,,7.75,,,,,9.0,9.25,9.75,
28040803,,8.0,,,,,7.0,8.25,,
28040804,,8.5,,,,,5.25,8.0,6.25,
28040805,2.8,7.25,1.8,,,,,,,N1
28040806,2.0,8.0,2.2,,,,5.0,,,N1
28040807,,8.5,,,,,6.0,6.5,,
28040808,,6.0,,,,,3.75,6.75,,
28040809,2.4,2.5,2.0,,,,2.0,2.5,3.0,N1
28040810,8.2,,,8.0,7.25,,,,,
28040812,,7.0,,,,,9.0,9.0,,
28040813,8.2,,4.8,7.25,,,,,,N1
28040814,3.2,6.5,,,,,5.75,7.0,7.25,
28040815,,8.0,,,,,6.0,6.0,,
28040816,,7.0,,,,,5.25,7.0,,
28040817,,8.0,,,,,9.25,9.25,,
28040818,6.6,7.5,3.8,,,,7.75,8.5,8.25,N1
28040819,,7.75,,,,,8.0,7.25,,
28040820,,8.25,,,,,4.5,6.5,,
28040821,,6.0,,,,,6.25,8.25,,
28040822,,8.5,,,,,,,,
28040823,,8.75,,,,,8.25,9.5,,
28040824,,8.75,,,,,7.25,7.5,,
28040825,,8.75,,,,,9.25,9.5,9.0,
28040826,,8.75,,,,,9.0,8.25,,
28040827,,8.75,,,,,8.5,8.75,,
28040828,,2.25,,,,,3.75,2.25,,
28040829,,8.75,,,,,8.25,7.75,,
28040830,,8.25,,,,,3.75,9.5,9.0,
28040832,5.8,7.5,,6.5,,,,,,
28040833,,8.75,,,,,9.5,9.5,,
28040834,7.2,8.0,,,,,7.25,,,
28040835,4.8,,,,3.25,5.5,,,,
28040836,,7.75,,,,,5.75,8.0,,
28040837,6.8,3.0,,,,,2.0,3.75,,
28040838,7.8,,,6.75,6.0,,,,,
28040839,,6.5,,,,,9.5,9.0,,
28040840,9.2,,,8.25,8.5,,,,,
28040842,2.6,,,2.75,3.5,,,,,
28040843,7.6,,,7.5,9.0,,,,,
28040844,,8.0,,,,,7.25,,8.25,
28040846,8.2,8.5,,,,,8.25,8.75,9.0,
28040847,,8.0,,,,,,5.0,,
28040848,4.2,6.5,,,,,7.5,8.0,,
28040849,6.6,,3.6,3.0,4.0,,,,,N1
28040850,,7.25,,,,,7.75,7.5,,
28040851,,5.0,,,,,2.5,3.5,,
28040852,,4.75,,,,,6.5,8.25,,
28040853,4.6,,2.4,,,,5.5,3.5,,N1
28040854,,8.75,,,,,10.0,9.0,,
28040855,,8.0,,,,,6.5,8.75,,
28040856,7.8,,,,7.75,7.25,,,,
28040858,7.0,8.75,5.2,,,,,,,N1
28040859,,6.75,,,,,8.25,6.5,,
28040860,,9.0,,,,,6.25,7.75,9.5,
28040861,,8.75,,,,,9.5,8.5,,
28040862,1.8,4.0,,,,,3.5,2.25,,
28040863,7.6,9.0,,,,,0.0,7.5,9.0,
28040864,8.2,,,,7.25,9.0,,,,
28040866,6.2,,,3.0,3.75,4.5,,,,
28040867,,8.25,,,,,8.5,7.75,,
28040868,7.4,7.5,6.0,5.0,5.5,,,,,N1
28040869,9.0,8.75,8.4,,,,,,,N1
28040870,,8.25,,,,,9.25,9.5,8.75,
28040872,,7.75,,,,,9.75,9.25,,
28040873,8.2,8.75,4.6,,,,7.25,,,N1
28040874,8.2,,4.8,7.75,,,,,,N1
28040875,,8.75,,,,,8.75,9.25,,
28040876,,8.5,,,,,7.25,9.25,9.0,
28040877,5.6,,3.6,4.75,,,,,,N1
28040878,,8.0,,,,,8.0,7.75,,
28040879,7.2,,,7.5,7.5,,,,,
28040880,,5.25,,,,,5.0,7.5,,
28040881,,5.5,,,,,5.25,5.0,,
28040882,7.2,9.0,5.4,,,,,,,N1
28040883,,7.25,,,,,8.5,7.75,,
28040884,,8.75,,,,,9.5,9.5,7.75,
28040885,1.2,6.0,,,,,5.25,7.25,,
28040886,2.8,4.5,2.6,,,,4.75,4.5,6.5,N1
28040887,7.4,9.0,4.6,,,,,,,N1
28040888,7.6,,,,8.0,7.25,,,,
28040889,,8.5,,,,,9.5,9.25,,
28040890,8.6,7.75,6.4,8.75,,,,,,N1
28040891,,7.75,,,,,4.0,4.0,,
28040892,8.0,,,8.5,8.0,,,,,
28040893,3.6,7.5,,,,,6.75,8.25,,
28040894,4.6,6.0,,,,,7.25,,,
28040895,,8.5,,,,,8.25,8.25,,
28040896,8.8,,,8.75,8.5,,,,,
28040898,8.0,,,7.0,8.75,,,,,
28040899,,6.5,,,,,4.75,7.0,,
28040900,,5.5,,,,,6.25,9.0,,
28040901,,8.0,,,,,8.25,6.0,,
28040902,,8.0,,,,,8.5,9.5,,
28040903,4.2,,,,,,,7.5,,
28040904,,8.5,,,,,8.25,9.0,9.0,
28040905,,4.75,,,,,5.75,5.0,,
28040906,8.0,9.25,4.8,,,,,,,N1
28040908,,9.0,,,,,5.25,8.25,8.75,
28040909,,9.0,,,,,7.25,7.0,8.25,
28040910,8.6,,,,8.5,9.25,,,,
28040911,,8.5,,,,,9.25,8.75,9.75,
28040912,7.2,8.0,,5.5,7.5,,,,,
28040914,7.0,,,6.0,6.25,,,,,
28040915,3.4,,2.0,,,,7.5,8.5,,N1
28040916,2.4,,2.6,,,,,,,N1
28040917,7.4,,,3.5,3.75,,,,,
28040918,,4.5,,,,,7.25,8.25,,
28040919,7.2,,,,7.5,7.25,,,,
28040920,1.6,6.0,1.8,,,,1.5,4.0,4.25,N1
28040921,7.6,,6.0,7.75,,,,,,N1
28040922,,8.0,,,,,9.0,7.75,,
28040923,,8.75,,,,,5.25,8.75,10.0,
28040924,,5.0,,,,,6.25,6.75,,
28040925,,9.0,,,,,8.5,9.0,,
28040926,8.6,,,8.75,8.75,,,,,
28040927,,7.5,,,,,8.25,8.0,,
28040928,7.8,,,7.5,7.0,,,,,
28040929,,9.25,,,,,10.0,9.5,,
28040930,8.4,,,,6.5,8.0,,,,
28040931,,6.0,,,,,3.5,7.25,,
28040932,7.8,8.0,6.2,,,,,,8.75,N1
28040933,,6.75,,,,,5.5,5.75,,
28040934,7.8,8.75,5.6,,,,7.5,,,N1
28040935,,8.75,,,,,8.0,8.25,8.75,
28040936,8.2,8.75,7.4,,,,8.5,8.0,9.25,N1
28040937,8.0,,4.6,7.25,,,,,,N1
28040938,8.4,,,,8.25,8.5,,,,
28040939,,7.5,,,,,9.75,10.0,,
28040940,,7.5,,,,,9.75,9.5,7.75,
28040941,7.8,4.25,,8.0,6.75,,,,,
28040942,4.8,8.25,,,,,6.25,4.75,,
28040943,,8.0,,,,,8.0,8.5,,
28040944,,9.0,,,,,9.25,8.75,,
28040945,4.8,8.75,,,,,7.25,7.75,8.5,
28040946,,8.0,,,,,9.75,9.5,,
28040947,8.0,,,5.75,6.25,,,,,
28040948,7.8,,,7.75,6.75,,,,,
28040949,7.8,,,7.75,7.75,,,,,
28040950,,,3.0,1.75,3.25,,,,,N1
28040951,,7.5,,,,,5.75,7.25,,
28040952,8.2,,,7.5,9.0,,,,,
28040953,,5.0,,,,,5.0,7.0,,
28040954,,8.0,,,,,7.0,9.0,,
28040955,7.6,9.25,3.8,,,,,,,N1
28040956,,5.5,,,,,4.5,4.75,,
28040957,2.6,5.5,2.6,,,,,4.25,,N1
28040958,7.4,8.0,,7.0,7.25,,,,,
28040959,,5.5,,,,,4.25,5.5,,
28040960,,6.25,,,,,6.25,8.25,,
28040961,7.6,,,,7.75,7.0,,,,
28040962,,8.5,,,,,7.0,7.0,9.0,
28040963,,9.0,,,,,9.0,8.75,9.0,
28040964,,6.25,,,,,2.25,5.25,,
28040965,,6.0,,,,,7.5,7.25,,
28040966,7.2,9.25,7.6,,,,,,,N1
28040967,,6.0,,,,,2.5,4.25,,
28040968,,5.0,,,,,4.0,5.25,,
28040969,,9.25,,,,,10.0,9.5,,
28040970,,8.25,,,,,9.75,9.75,,
28040971,,7.0,,,,,2.75,7.0,,
28040972,8.4,8.75,4.0,,,,,,,N1
28040973,8.0,9.0,5.8,,,,6.0,6.0,9.25,N1
28040974,,8.75,,,,,9.0,8.0,9.75,
28040975,8.8,9.0,6.8,,,,,,,N1
28040976,,7.5,,,,,9.0,9.25,6.5,
28040977,,9.0,,,,,8.75,9.75,,
28040978,8.0,,,8.5,7.25,,,,,
28040979,,8.25,,,,,5.0,8.25,,
28040980,6.8,8.25,,,4.75,7.25,,,,
28040981,,7.5,,,,,6.75,9.0,,
28040982,,4.5,,,,,5.0,4.25,,
28040983,7.4,8.25,4.0,,,,,,,N1
28040984,2.4,5.5,2.4,,,,2.75,4.75,5.25,N1
28040985,8.2,8.5,8.6,,,,,,,N1
28040987,7.0,8.25,4.0,,,,,,,N1
28040988,,7.75,,,,,6.25,7.0,,
28040989,,8.0,,,,,8.25,8.5,,
28040990,7.8,2.0,,7.25,7.25,,,,,
28040991,6.4,,,4.5,4.75,4.5,,,,
28040992,,5.5,,,,,2.75,4.75,,
28040993,7.0,8.5,,,,,9.5,9.25,,
28040995,7.6,8.75,6.2,,,,,,,N1
28040997,7.6,,,,7.75,8.75,,,,
28040998,,9.25,,,,,9.25,9.0,,
28040999,,8.5,,,,,,7.5,8.75,
28041000,,8.75,,,,,8.5,7.5,9.75,
28041001,,5.5,,,,,5.0,6.5,,
28041002,8.0,8.5,,,,,9.5,,,
28041003,8.0,,7.2,8.25,,,,,,N1
28041004,,6.5,,,,,4.0,5.25,,
28041005,7.6,,,7.0,6.5,,,,,
28041006,8.2,,7.8,8.5,,,,,,N1
28041007,,5.0,,,,,4.0,7.0,,
28041008,,8.25,,,,,9.0,9.75,,
28041011,,4.5,,,,,3.5,5.0,,
28041012,,7.5,,,,,9.25,9.5,,
28041013,,7.0,,,,,3.25,5.25,,
28041014,8.2,9.25,5.6,,,,,,,N1
28041015,,7.0,,,,,9.75,8.75,,
28041016,7.4,,,,7.0,6.75,,,,
28041017,7.4,,,6.75,5.0,,,,,
28041018,,7.25,,,,,,,5.5,
28041019,7.6,,,5.25,5.75,,,,,
28041020,,9.0,,,,,9.25,8.5,6.75,
28041021,,9.25,,,,,8.75,8.5,,
28041022,,8.5,,,,,8.25,7.5,,
28041023,,8.5,,,,,8.75,8.5,7.75,
28041024,,8.0,,,,,9.5,9.0,,
28041027,7.4,8.5,5.2,,,,,,,N1
28041028,5.8,,,4.5,5.25,,,,,
28041029,7.4,8.75,7.4,,,,,9.75,,N1
28041030,8.6,7.5,3.0,,,,8.5,8.5,,N1
28041031,6.8,9.0,,,,,10.0,9.25,,
28041032,7.2,9.0,,,,,8.5,7.5,,
28041033,6.4,7.5,,,,,8.5,8.25,,
28041034,7.6,9.0,6.6,,,,,,,N5
28041035,,6.0,,,,,5.0,6.75,,
28041036,,9.5,,,,,10.0,9.25,,
28041037,,6.75,,,,,6.5,7.75,,
28041038,4.6,7.0,,,,,6.75,8.25,,
28041039,5.2,7.5,2.2,,,,4.75,6.25,,N1
28041040,7.4,7.5,,7.5,7.5,,,,,
28041041,,6.5,,,,,3.0,4.25,,
28041042,,8.0,,,,,8.5,8.0,,
28041043,7.0,6.0,,,,,9.5,,,
28041044,7.0,,,,3.75,5.75,,,,
28041045,,8.5,,,,,9.25,9.25,9.25,
28041046,,4.0,,,,,4.0,5.0,,
28041048,,6.5,,,,,8.0,5.25,,
28041049,,6.5,,,,,9.5,8.5,,
28041050,7.6,,,,8.0,7.75,,,,
28041052,,5.5,,,,,2.75,6.0,,
28041053,5.0,8.5,5.8,,,,7.0,,,N1
28041054,5.2,6.0,,,,,7.5,6.0,,
28041055,6.8,,6.4,,,,,,,N1
28041056,,7.5,,,,,7.0,7.0,,
28041057,6.4,,,5.25,3.25,,,,,
28041058,4.4,,4.0,4.5,7.75,2.5,,,,N1
28041059,,7.0,,,,,7.75,8.5,,
28041060,,7.25,,,,,6.75,6.5,,
28041061,,6.0,,,,,5.25,5.5,,
28041062,,8.0,,,,,9.75,9.75,,
28041063,4.8,7.0,3.6,,,,5.25,6.0,6.0,N1
28041064,4.8,6.0,,,,,7.0,7.0,,
28041065,7.8,,7.4,,8.0,,,,,N1
28041066,6.2,,5.2,5.0,,,,,,N1
28041067,,7.0,,,,,8.75,8.75,,
28041068,,5.0,,,,,6.5,6.0,,
28041070,7.0,7.25,6.8,,,,,,,N4
28041071,,8.25,,,,,8.25,9.5,9.25,
28041072,,5.0,,,,,5.5,4.75,,
28041073,5.8,7.75,,,,,9.25,9.0,,
28041074,3.0,6.5,,,,,8.5,8.5,,
28041075,,6.75,,,,,5.25,6.75,,
28041076,,5.25,,,,,3.25,6.25,,
28041077,7.6,6.5,7.0,,,,,,,N1
28041078,,8.5,,,,,9.0,8.75,10.0,
28041079,7.6,8.75,6.6,,,,,,,N1
28041080,6.6,7.25,,,,,4.5,,8.5,
28041081,,6.25,,,,,3.25,5.75,,
28041082,,5.0,,,,,6.0,6.25,,
28041083,7.6,8.25,,,5.75,6.0,,,,
28041085,8.4,7.5,,,,,6.25,,,
28041086,,8.5,,,,,,,,
28041087,7.2,,7.4,,7.75,,,,,N1
28041088,7.8,,,5.75,4.5,,,,,
28041089,8.4,9.0,5.6,,,,,,,N1
28041090,,8.5,,,,,9.25,10.0,9.5,
28041091,,8.0,,,,,8.5,8.5,,
28041092,,7.0,,,,,7.75,6.75,,
28041093,2.8,6.5,,,,,6.5,6.5,,
28041094,,6.0,,,,,6.25,5.75,,
28041095,8.0,,,7.25,8.0,,,,,
28041096,,8.5,,,,,,,,
28041097,,8.5,,,,,8.5,9.5,,
28041098,,8.0,,,,,5.25,7.5,8.5,
28041099,,8.75,,,,,9.75,10.0,9.25,
28041100,,7.5,,,,,8.75,9.25,,
28041101,3.4,7.75,2.6,,,,,,,N1
28041102,9.2,,9.0,9.25,3.0,,,,,N1
28041103,8.0,8.5,5.6,,,,,,,N1
28041104,6.6,8.75,,,,,8.75,7.25,,
28041105,,8.75,,,,,7.75,9.0,,
28041106,2.6,,2.6,,,,,4.25,,N1
28041107,7.8,,,7.5,5.0,,,,,
28041108,7.2,,,7.5,8.25,,,,,
28041109,7.6,8.5,,,,,8.25,9.25,,
28041110,,8.0,,,,,4.25,7.0,,
28041112,,7.5,,,,,8.5,9.0,5.75,
28041113,,5.75,,,,,7.25,5.75,,
28041114,3.2,5.5,,,,,6.0,,,
28041115,8.4,,,6.5,7.25,,,,,
28041116,6.6,7.25,,2.75,4.0,,,,,
28041117,8.2,6.5,5.8,,,,,,,N1
28041118,6.6,8.0,5.8,,,,,,,N1
28041119,7.0,,,6.75,5.75,,,,,
28041120,2.8,5.0,,,,,4.0,,,
28041121,,6.5,,,,,7.5,7.25,,
28041122,,8.5,,,,,9.0,8.0,9.0,
28041123,7.0,8.0,4.2,,4.75,,,,,N1
28041124,7.8,8.5,7.4,,,,,,,N1
28041125,7.0,,,5.75,5.0,,,,,
28041126,,7.0,,,,,9.0,9.5,,
28041127,,7.5,,,,,9.75,8.75,,
28041128,,8.0,,,,,8.5,8.75,,
28041129,,8.75,,,,,9.75,10.0,,
28041130,,8.25,,,,,7.0,8.75,8.25,
28041131,8.4,,,9.25,9.5,,,,,
28041132,8.0,,,8.0,7.0,1.5,,,,
28041133,5.4,,,,3.75,5.75,,,,
28041135,8.0,,,3.0,5.25,,,,,
28041136,8.4,9.5,7.2,,,,9.5,9.5,,N1
28041137,8.6,7.5,6.6,,,,,,,N1
28041138,,6.25,,,,,6.5,7.25,,
28041139,8.2,,,6.75,7.5,,,,,
28041140,,7.0,,,,,8.25,8.75,,
28041141,8.2,,,6.5,7.5,,,,,
28041142,,9.0,,,,,9.0,9.5,,
28041143,,6.25,,,,,4.0,5.25,,
28041144,,6.0,,,,,4.5,6.75,,
28041145,7.8,7.0,,,,,,,7.0,
28041146,8.0,6.0,,5.75,7.0,,,,,
28041147,4.8,6.5,,,,,5.5,7.25,,
28041148,,5.75,,,,,3.75,4.25,,
28041149,8.6,,,,8.0,8.0,,,,
28041150,,8.25,,,,,,9.25,9.25,
28041151,,8.25,,,,,7.5,8.0,9.25,
28041152,,8.25,,,,,8.75,9.0,,
28041153,,8.5,,,,,7.75,7.5,8.0,
28041154,7.0,,,5.25,5.5,,,,,
28041155,8.2,,,7.75,8.75,3.0,,,,
28041156,7.8,8.0,,,,,,9.0,,
28041157,,5.75,,,,,4.5,3.75,,
28041158,3.4,4.0,,,,,9.0,9.0,,
28041159,8.2,,,6.5,6.75,,,,,
28041160,,6.5,,,,,6.75,8.5,,
28041161,,7.5,,,,,8.25,7.75,,
28041162,,6.0,,,,,5.75,7.75,,
28041164,,7.25,,,,,6.5,9.75,8.75,
28041165,7.6,,,7.25,6.75,,,,,
28041166,,6.5,,,,,5.25,5.75,,
28041167,4.8,,3.2,3.5,,,,,,N1
28041168,8.4,,,8.0,7.5,,,,,
28041169,,6.0,,,,,6.5,7.5,,
28041170,7.8,,,7.25,8.0,,,,,
28041171,,8.0,,,,,8.25,9.25,,
28041172,,8.5,,,,,9.25,9.5,8.75,
28041173,,8.75,7.8,,,,6.75,,,N1
28041174,,5.5,,,,,5.0,7.5,,
28041175,,5.5,,,,,4.5,5.25,,
28041176,,3.25,,,,,5.5,6.5,,
